Department,Millesime,Indicateur,Valeur
12,2015,Deces,3515
12,2015,Naissances,2361
12,2016,Deces,3528
12,2016,Naissances,2390
12,2017,Actifs1564,121177
12,2017,ArriveesHorsDep,8642
12,2017,Chomeurs1564,11975
12,2017,Deces,3612
12,2017,Logements,181053
12,2017,LogementsVacants,19894
12,2017,Naissances,2316
12,2017,Pop65Plus,74991
12,2017,PopUnAnPlus,276680
12,2017,Population,279206
12,2017,PopulationLegale,279206
12,2017,RPMaisons,93843
12,2017,RPProprietaires,90123
12,2017,ResidencesPrincipales,129812
12,2018,Deces,3409
12,2018,Naissances,2247
12,2019,Deces,3452
12,2019,Naissances,2175
12,2020,Deces,3626
12,2020,Naissances,2178
12,2021,Deces,3666
12,2021,Naissances,2272
12,2022,Deces,3840
