"ANNEE";"MOIS";"TYPE_LGT";"NAT_SERIES";"LOG_AUT";"LOG_COM";"SDP_AUT";"SDP_COM"
"2023";"06";"Tous Logements";"CVS-CJO";33126;24962;2597591;2041579
"2023";"05";"Collectif";"Brute";14376;11004;926544;725012
"2023";"05";"Collectif";"CVS-CJO";14884;13751;959285;906002
"2023";"05";"Individuel groupe";"Brute";3419;2574;300821;228092
"2023";"05";"Individuel groupe";"CVS-CJO";3422;2891;301085;256183
"2023";"05";"Individuel pur";"Brute";8059;8012;943537;963443
"2023";"05";"Individuel pur";"CVS-CJO";8490;8035;993998;966209
"2023";"05";"Residence";"Brute";2570;1705;112900;88100
"2023";"05";"Residence";"CVS-CJO";2954;2034;129769;105100
"2023";"05";"Tous Logements";"Brute";28424;23295;2283802;2004647
"2023";"05";"Tous Logements";"CVS-CJO";29750;26711;2390343;2298610
"2023";"04";"Collectif";"Brute";15190;10545;999149;680658
"2023";"04";"Collectif";"CVS-CJO";16126;12021;1060716;775931
"2023";"04";"Individuel groupe";"Brute";3083;2438;278361;225490
"2023";"04";"Individuel groupe";"CVS-CJO";3394;2553;306441;236126
"2023";"04";"Individuel pur";"Brute";7571;8318;896783;990782
"2023";"04";"Individuel pur";"CVS-CJO";8508;8215;1007770;978513
"2023";"04";"Residence";"Brute";3926;2828;206200;116400
"2023";"04";"Residence";"CVS-CJO";4494;3398;236032;139861
"2023";"04";"Tous Logements";"Brute";29770;24129;2380493;2013330
"2023";"04";"Tous Logements";"CVS-CJO";32522;26187;2600551;2185050
"2023";"03";"Collectif";"Brute";17448;13363;1115230;889710
"2023";"03";"Collectif";"CVS-CJO";16271;13647;1039999;908619
"2023";"03";"Individuel groupe";"Brute";4047;2775;363775;250819
"2023";"03";"Individuel groupe";"CVS-CJO";3493;2827;313977;255519
"2023";"03";"Individuel pur";"Brute";9567;9635;1140397;1147953
"2023";"03";"Individuel pur";"CVS-CJO";8835;8371;1053142;997355
"2023";"03";"Residence";"Brute";2730;935;124100;60500
"2023";"03";"Residence";"CVS-CJO";2974;1521;135192;98418
"2023";"03";"Tous Logements";"Brute";33792;26708;2743502;2348982
"2023";"03";"Tous Logements";"CVS-CJO";31573;26366;2563346;2318903
"2023";"02";"Collectif";"Brute";13842;10115;905408;651482
"2023";"02";"Collectif";"CVS-CJO";17407;13191;1138595;849600
"2023";"02";"Individuel groupe";"Brute";3474;2604;319943;234420
"2023";"02";"Individuel groupe";"CVS-CJO";3622;2828;333573;254585
"2023";"02";"Individuel pur";"Brute";8352;8763;995696;1037890
