Date,Department,Type,PrixM2Median,PrixMedian,NbVentes
2018-04-01,05,Ensemble,2050.0,110000.0,699
2018-07-01,05,Ensemble,2097.0,117500.0,677
2018-10-01,05,Ensemble,2193.0,105500.0,706
2019-01-01,05,Ensemble,2140.0,103750.0,614
2019-04-01,05,Ensemble,2176.0,110000.0,743
2019-07-01,05,Ensemble,2162.0,115000.0,793
2019-10-01,05,Ensemble,2192.0,110000.0,919
2020-01-01,05,Ensemble,2105.0,108000.0,630
2020-04-01,05,Ensemble,2233.0,124610.0,628
2020-07-01,05,Ensemble,2197.0,120000.0,730
2020-10-01,05,Ensemble,2319.0,115000.0,1067
2014-01-01,05,Maison,2300.0,196000.0,135
2014-04-01,05,Maison,2041.0,180000.0,107
2014-07-01,05,Maison,2230.0,194300.0,154
2014-10-01,05,Maison,2171.0,190000.0,158
2015-01-01,05,Maison,2143.0,177000.0,139
2015-04-01,05,Maison,2179.0,185500.0,178
2015-07-01,05,Maison,2138.0,199500.0,184
2015-10-01,05,Maison,2106.0,179000.0,198
2016-01-01,05,Maison,1964.0,167500.0,132
2016-04-01,05,Maison,2146.0,200000.0,163
2016-07-01,05,Maison,2250.0,203785.0,179
2016-10-01,05,Maison,2238.0,181150.0,207
2017-01-01,05,Maison,2160.0,185836.0,176
2017-04-01,05,Maison,2131.0,201000.0,194
2017-07-01,05,Maison,2238.0,201000.0,221
2017-10-01,05,Maison,2156.0,199000.0,220
2018-01-01,05,Maison,2068.0,187500.0,205
2018-04-01,05,Maison,2155.0,204125.0,206
2018-07-01,05,Maison,2167.0,210000.0,219
2018-10-01,05,Maison,2333.0,195000.0,215
2019-01-01,05,Maison,2233.0,200000.0,169
2019-04-01,05,Maison,2245.0,200500.0,219
2019-07-01,05,Maison,2268.0,210000.0,244
2019-10-01,05,Maison,2312.0,212135.0,268
2020-01-01,05,Maison,2292.0,190000.0,183
2020-04-01,05,Maison,2364.0,206700.0,183
2020-07-01,05,Maison,2370.0,225000.0,247
2020-10-01,05,Maison,2472.0,236350.0,308
2014-01-01,06,Appartement,3631.0,180000.0,3400
2014-04-01,06,Appartement,3667.0,181000.0,3243
2014-07-01,06,Appartement,3667.0,180000.0,3545
2014-10-01,06,Appartement,3605.0,180000.0,3223
2015-01-01,06,Appartement,3593.0,176421.0,3144
2015-04-01,06,Appartement,3605.0,180000.0,3682
2015-07-01,06,Appartement,3636.0,185000.0,3972
2015-10-01,06,Appartement,3652.0,180000.0,4051
2016-01-01,06,Appartement,3579.0,180000.0,3591
2016-04-01,06,Appartement,3571.0,180000.0,4187
2016-07-01,06,Appartement,3656.0,182000.0,4344
2016-10-01,06,Appartement,3710.0,180000.0,4156
2017-01-01,06,Appartement,3619.0,183000.0,4382
2017-04-01,06,Appartement,3703.0,183000.0,4790
2017-07-01,06,Appartement,3774.0,190000.0,4667
2017-10-01,06,Appartement,3817.0,185000.0,4509
2018-01-01,06,Appartement,3724.0,186075.0,4125
2018-04-01,06,Appartement,3723.0,185125.0,3438
2018-07-01,06,Appartement,3750.0,186150.0,3113
2018-10-01,06,Appartement,3764.0,184275.0,1510
2019-01-01,06,Appartement,3886.0,190000.0,4759
2019-04-01,06,Appartement,3839.0,185400.0,5179
2019-07-01,06,Appartement,3943.0,195000.0,5402
2019-10-01,06,Appartement,4000.0,190000.0,5127
2020-01-01,06,Appartement,4000.0,199000.0,4643
2020-04-01,06,Appartement,3971.0,200000.0,4038
2020-07-01,06,Appartement,4028.0,192775.0,4636
2020-10-01,06,Appartement,4109.0,200000.0,5430
2014-01-01,06,Ensemble,3667.0,190000.0,3854
2014-04-01,06,Ensemble,3689.0,191435.0,3639
2014-07-01,06,Ensemble,3727.0,190000.0,4056
2014-10-01,06,Ensemble,3667.0,190000.0,3693
2015-01-01,06,Ensemble,3643.0,185000.0,3528
2015-04-01,06,Ensemble,3645.0,190000.0,4167
2015-07-01,06,Ensemble,3700.0,198000.0,4552
2015-10-01,06,Ensemble,3696.0,194000.0,4644
2016-01-01,06,Ensemble,3621.0,190000.0,4102
2016-04-01,06,Ensemble,3613.0,190000.0,4675
2016-07-01,06,Ensemble,3704.0,195000.0,4943
2016-10-01,06,Ensemble,3750.0,195000.0,4695
2017-01-01,06,Ensemble,3668.0,195000.0,4982
2017-04-01,06,Ensemble,3742.0,194500.0,5395
2017-07-01,06,Ensemble,3820.0,203000.0,5329
2017-10-01,06,Ensemble,3857.0,200000.0,5126
2018-01-01,06,Ensemble,3768.0,197988.0,4648
2018-04-01,06,Ensemble,3777.0,199000.0,3842
2018-07-01,06,Ensemble,3819.0,200000.0,3485
2018-10-01,06,Ensemble,3862.0,195000.0,1680
2019-01-01,06,Ensemble,3913.0,200000.0,5327
2019-04-01,06,Ensemble,3874.0,200000.0,5818
2019-07-01,06,Ensemble,4000.0,210000.0,6168
2019-10-01,06,Ensemble,4037.0,200000.0,5769
2020-01-01,06,Ensemble,4038.0,210000.0,5186
2020-04-01,06,Ensemble,4032.0,210000.0,4575
2020-07-01,06,Ensemble,4066.0,205000.0,5297
2020-10-01,06,Ensemble,4167.0,214000.0,6176
2014-01-01,06,Maison,4121.0,332842.0,454
