Date,Region,Department,Type,Permis,MisesEnChantier,SurfacePermis,SurfaceChantiers
2007-07-01,France,France,Maison Individuelle Pure,17885,16326,2293861,2101408
2007-08-01,France,France,Logement Collectif,22054,15975,1442961,1061398
2007-08-01,France,France,Logement en Résidence,1751,1689,98244,72448
2007-08-01,France,France,Maison Individuelle Groupée,6514,4311,611638,389360
2007-08-01,France,France,Maison Individuelle Pure,18303,17220,2334846,2245106
2007-09-01,France,France,Logement Collectif,18246,17258,1232866,1170198
2007-09-01,France,France,Logement en Résidence,2598,1614,148872,87325
2007-09-01,France,France,Maison Individuelle Groupée,5951,4651,799235,443318
2007-09-01,France,France,Maison Individuelle Pure,18456,16464,2368586,2129861
2007-10-01,France,France,Logement Collectif,20705,18852,1402038,1260389
2007-10-01,France,France,Logement en Résidence,2920,2124,153615,88622
2007-10-01,France,France,Maison Individuelle Groupée,5844,4824,546212,457228
2007-10-01,France,France,Maison Individuelle Pure,17698,16532,2280815,2139569
2007-11-01,France,France,Logement Collectif,18951,16653,1259108,1135312
2007-11-01,France,France,Logement en Résidence,2593,1428,125007,73222
2007-11-01,France,France,Maison Individuelle Groupée,5767,3681,528523,356839
2007-11-01,France,France,Maison Individuelle Pure,14021,16376,1799752,2106219
2007-12-01,France,France,Logement Collectif,19843,15169,1337374,1023993
2007-12-01,France,France,Logement en Résidence,3609,1413,193191,63329
2007-12-01,France,France,Maison Individuelle Groupée,5835,4564,534713,417039
2007-12-01,France,France,Maison Individuelle Pure,16490,15957,2104537,2062353
2008-01-01,France,France,Logement Collectif,21412,18276,1480467,1266365
2008-01-01,France,France,Logement en Résidence,2217,987,125770,54448
2008-01-01,France,France,Maison Individuelle Groupée,6079,4605,561880,420938
2008-01-01,France,France,Maison Individuelle Pure,16276,16193,2052667,2088980
2008-02-01,France,France,Logement Collectif,22882,17700,1519126,1223705
2008-02-01,France,France,Logement en Résidence,2836,1862,140305,76420
2008-02-01,France,France,Maison Individuelle Groupée,6496,4837,601658,470125
2008-02-01,France,France,Maison Individuelle Pure,15802,16137,1973793,2084691
2008-03-01,France,France,Logement Collectif,21882,15121,1517473,1016953
2008-03-01,France,France,Logement en Résidence,2563,2330,146143,130212
2008-03-01,France,France,Maison Individuelle Groupée,7049,4428,640578,424519
2008-03-01,France,France,Maison Individuelle Pure,15345,14292,1943463,1856779
2008-04-01,France,France,Logement Collectif,18873,15431,1280548,1073793
2008-04-01,France,France,Logement en Résidence,1958,1741,108282,71975
2008-04-01,France,France,Maison Individuelle Groupée,6261,3889,561164,378646
2008-04-01,France,France,Maison Individuelle Pure,15349,14306,1939321,1880050
2008-05-01,France,France,Logement Collectif,19420,14710,1248165,994806
2008-05-01,France,France,Logement en Résidence,2939,1672,153036,94555
2008-05-01,France,France,Maison Individuelle Groupée,6108,3831,550315,355845
