Date,Department,Type,PrixM2Median,PrixMedian,NbVentes
2017-07-01,04,Appartement,1722.0,71600.0,220
2017-10-01,04,Appartement,1739.0,63000.0,239
2018-01-01,04,Appartement,1506.0,67950.0,218
2018-04-01,04,Appartement,1553.0,64200.0,248
2018-07-01,04,Appartement,1604.0,64100.0,236
2018-10-01,04,Appartement,1661.0,68930.0,193
2019-01-01,04,Appartement,1590.0,62765.0,244
2019-04-01,04,Appartement,1635.0,64000.0,282
2019-07-01,04,Appartement,1663.0,71000.0,305
2019-10-01,04,Appartement,1763.0,69635.0,346
2020-01-01,04,Appartement,1741.0,67280.0,234
2020-04-01,04,Appartement,1748.0,75000.0,246
2020-07-01,04,Appartement,1725.0,71806.0,272
2020-10-01,04,Appartement,1798.0,66950.0,436
2021-01-01,04,Appartement,1693.0,66500.0,315
2021-04-01,04,Appartement,1786.0,73250.0,362
2021-07-01,04,Appartement,1870.0,74980.0,418
2021-10-01,04,Appartement,1859.0,75000.0,455
2022-01-01,04,Appartement,1892.0,70000.0,379
2022-04-01,04,Appartement,1907.0,79000.0,432
2022-07-01,04,Appartement,1987.0,81380.0,414
2022-10-01,04,Appartement,2038.0,77900.0,437
2023-01-01,04,Appartement,1963.0,79300.0,352
2023-04-01,04,Appartement,2262.0,85685.0,390
2023-07-01,04,Appartement,2264.0,84000.0,333
2023-10-01,04,Appartement,2150.0,80000.0,383
2024-01-01,04,Appartement,2045.0,78000.0,261
2024-04-01,04,Appartement,2112.0,79950.0,318
2024-07-01,04,Appartement,2190.0,82000.0,285
2024-10-01,04,Appartement,2088.0,75000.0,370
2025-01-01,04,Appartement,2113.0,85000.0,303
2025-04-01,04,Appartement,2231.0,85000.0,311
2025-07-01,04,Appartement,2114.0,84250.0,338
2025-10-01,04,Appartement,2115.0,80000.0,401
2014-01-01,04,Ensemble,1851.0,116500.0,386
2014-04-01,04,Ensemble,1818.0,111570.0,329
2014-07-01,04,Ensemble,1973.0,120250.0,426
2014-10-01,04,Ensemble,1860.0,108000.0,422
2015-01-01,04,Ensemble,1818.0,110000.0,373
2015-04-01,04,Ensemble,1806.0,118200.0,390
2015-07-01,04,Ensemble,1833.0,112000.0,405
2015-10-01,04,Ensemble,1875.0,117000.0,447
2016-01-01,04,Ensemble,1834.0,115000.0,341
2016-04-01,04,Ensemble,1810.0,94300.0,449
2016-07-01,04,Ensemble,1875.0,116000.0,470
2016-10-01,04,Ensemble,1875.0,117500.0,494
2017-01-01,04,Ensemble,1875.0,115000.0,492
2017-04-01,04,Ensemble,1858.0,115000.0,569
2017-07-01,04,Ensemble,1924.0,127000.0,554
2017-10-01,04,Ensemble,1871.0,113700.0,533
2018-01-01,04,Ensemble,1788.0,110000.0,481
2018-04-01,04,Ensemble,1690.0,100000.0,527
2018-07-01,04,Ensemble,1874.0,116580.0,554
2018-10-01,04,Ensemble,1848.0,112500.0,443
2019-01-01,04,Ensemble,1744.0,100000.0,530
2019-04-01,04,Ensemble,1818.0,103650.0,616
2019-07-01,04,Ensemble,1851.0,115000.0,655
2019-10-01,04,Ensemble,1856.0,105000.0,704
2020-01-01,04,Ensemble,1943.0,117880.0,520
2020-04-01,04,Ensemble,1937.0,117400.0,532
2020-07-01,04,Ensemble,1905.0,120000.0,619
2020-10-01,04,Ensemble,2000.0,115000.0,913
2021-01-01,04,Ensemble,1824.0,105500.0,692
2021-04-01,04,Ensemble,2000.0,125000.0,799
2021-07-01,04,Ensemble,2000.0,120000.0,905
2021-10-01,04,Ensemble,2073.0,112000.0,930
2022-01-01,04,Ensemble,2052.0,110000.0,765
2022-04-01,04,Ensemble,2104.0,118020.0,858
2022-07-01,04,Ensemble,2222.0,128444.0,850
2022-10-01,04,Ensemble,2148.0,116690.0,831
2023-01-01,04,Ensemble,2214.0,117000.0,670
2023-04-01,04,Ensemble,2375.0,121380.0,723
2023-07-01,04,Ensemble,2317.0,120948.0,676
2023-10-01,04,Ensemble,2321.0,119000.0,719
2024-01-01,04,Ensemble,2174.0,125000.0,527
2024-04-01,04,Ensemble,2243.0,120000.0,599
2024-07-01,04,Ensemble,2356.0,133270.0,632
2024-10-01,04,Ensemble,2228.0,120000.0,698
2025-01-01,04,Ensemble,2224.0,122500.0,609
2025-04-01,04,Ensemble,2353.0,130000.0,644
2025-07-01,04,Ensemble,2357.0,140000.0,732
