Department,Millesime,Population,Pop65Plus,ResidencesPrincipales,RPProprietaires,RPMaisons,Logements,LogementsVacants,PopUnAnPlus,ArriveesHorsDep,Actifs1564,Chomeurs1564,RPProprietaires65Plus,RPTotalAge,NiveauVieMedian,TauxPauvrete,PartProprietaires,PartMaisons,TauxVacance,Part65Plus,TauxArrivee,TauxChomage,PartRP65Plus,SoldeMigratoire
43,2012,225686,47295,98543,68404,74550,138818,16176,223303,6982,101221,9912,,,,,69.4154,75.6523,11.6527,20.9561,3.12669,9.79243,,0.49166
43,2017,227283,53614,101984,71247,77761,142989,17707,225163,6540,101567,10702,,,,,69.861,76.2482,12.3835,23.5891,2.90456,10.5369,,0.301569
43,2023,228654,59705,107026,75484,81613,147281,17333,226751,6752,103134,8502,30007,107026,25140,12,70.5287,76.2553,11.7687,26.1115,2.97772,8.24364,28.0371,0.44702
44,2012,1313473,209968,572396,358144,367372,680299,37096,1296257,47214,625776,68952,,,,,62.5693,64.1814,5.4529,15.9857,3.64233,11.0186,,0.619631
44,2017,1394909,248549,620688,384703,390118,740924,42229,1377834,47816,665822,77352,,,,,61.9801,62.8525,5.6995,17.8183,3.47037,11.6175,,0.798433
44,2023,1487570,286678,684986,418340,420192,811177,43940,1471810,43707,729138,66411,145047,684986,27150,12,61.0728,61.3432,5.41682,19.2716,2.96961,9.10815,21.1752,0.812
45,2012,662297,115724,284894,176946,194824,327876,26715,653458,21903,310654,37718,,,,,62.1094,68.3847,8.1479,17.4731,3.35186,12.1415,,0.0720667
45,2017,678105,131968,296752,183712,203089,344708,31388,670003,21393,313452,41087,,,,,61.9076,68.4373,9.10568,19.4613,3.19297,13.1079,,0.111853
45,2023,691268,146521,310889,193680,213755,359356,30697,684005,21138,320654,35566,73134,310889,25800,15,62.2988,68.7561,8.54223,21.196,3.09033,11.0917,23.5242,0.135844
46,2012,174346,44703,80932,56294,66411,113643,11228,172842,7318,74679,8833,,,,,69.5572,82.0578,9.88006,25.6404,4.23392,11.828,,0.645663
46,2017,173828,50131,83249,57943,68693,118075,12672,172517,7000,73810,9713,,,,,69.602,82.5151,10.7322,28.8394,4.05757,13.1595,,0.412169
46,2023,176473,56146,88004,61756,72530,122591,12134,175251,7064,74430,8118,29417,88004,24740,16,70.1741,82.4167,9.89795,31.8156,4.03079,10.9069,33.4269,0.909136
47,2012,332119,77823,149078,95553,120065,178555,18803,328522,11279,143646,19307,,,,,64.096,80.5384,10.5306,23.4323,3.43326,13.4407,,0.517815
47,2017,332842,85321,152670,98257,123365,185343,21117,329721,11072,142719,20687,,,,,64.3591,80.805,11.3935,25.6341,3.35799,14.4949,,0.210768
47,2023,333602,92722,158186,103000,127815,192312,21748,330902,10763,143292,16062,45775,158186,23730,18,65.1132,80.8005,11.3087,27.7942,3.25262,11.2093,28.9375,0.419268
48,2012,76889,16956,34150,22256,25008,58823,5550,76083,3317,34158,2849,,,,,65.1713,73.2299,9.43508,22.0526,4.35971,8.34065,,0.181061
48,2017,76601,18910,34983,22851,25929,60898,6220,75907,3400,33715,3242,,,,,65.3203,74.1189,10.2138,24.6864,4.47917,9.6159,,0.300433
48,2023,76486,20887,36725,24119,27133,62355,5308,75884,3127,33692,2610,10638,36725,24270,15,65.6746,73.8816,8.51255,27.3083,4.12076,7.74665,28.9666,0.541116
49,2012,795405,136406,339602,204397,241174,375931,25690,784801,28421,372134,42914,,,,,60.1872,71.0167,6.8337,17.1493,3.62143,11.5319,,0.228443
49,2017,813493,156245,355093,214347,251203,394578,27441,803891,26564,376495,46564,,,,,60.3636,70.7429,6.95452,19.2067,3.30443,12.3678,,0.0803616
49,2023,833776,175749,375558,226940,264197,414821,25556,825297,25424,394266,36913,82494,375558,25550,12,60.4274,70.3479,6.16073,21.0787,3.08059,9.36246,21.9657,0.266116
50,2012,499890,106082,222688,139071,178205,286571,22462,494345,13284,221938,23699,,,,,62.4511,80.0245,7.8382,21.2211,2.68719,10.6782,,0.154859
50,2017,496883,119436,227731,144352,183760,297133,25120,492106,12241,218892,23781,,,,,63.3871,80.6917,8.45413,24.037,2.48747,10.8643,,-0.00308068
50,2023,497522,132160,237370,152652,190636,305712,22826,493107,12546,221579,18683,63811,237370,25430,12,64.3097,80.3117,7.4665,26.5636,2.54428,8.43176,26.8825,0.365646
51,2012,568795,92656,253158,130218,142809,281894,22467,561592,19500,270164,34264,,,,,51.4374,56.411,7.97002,16.2899,3.47227,12.6827,,-0.239092
51,2017,568895,107099,259819,133124,146234,294041,26198,562562,16904,263367,36063,,,,,51.2372,56.283,8.90964,18.8258,3.00482,13.6931,,-0.289876
